fecha,precio
01/01/1900,688.53
02/01/1900,698.54
03/01/1900,697.12
04/01/1900,688.96
05/01/1900,686.73
06/01/1900,688.44
07/01/1900,695.72
08/01/1900,683.84
09/01/1900,692.48
10/01/1900,701.35
11/01/1900,701.35
12/01/1900,675.32
13/01/1900,679.68
14/01/1900,683.62
15/01/1900,665.77
16/01/1900,675.42
17/01/1900,673.62
18/01/1900,681.47
19/01/1900,686.8
20/01/1900,697.06
